Názov knižnice;Typ knižnice;Stav knižnice (F/N/S/Z);Adresa;;;Okres;Kraj;Štatutárny zástupca;Telefón knihovníka/metodika;Web;E-mail inštitúcie
Obecná knižnica Hybe;obecná NZ;Fungujúca;Hybe 2;032 31;Hybe;Liptovský Mikuláš;Žilinský;Martin Piovarči;910939569;;hybe@hybe.sk
Obecná knižnica Liptovská Lúžna;obecná NZ;Fungujúca;Liptovská Lúžna 629;034 72;Liptovská Lúžna;Ružomberok;Žilinský;Ing. Albín Husarčík;910784964;;starosta@liptovskaluzna.sk
Obecná knižnica Povoda;obecná NZ;Stagnujúca;Povoda 133;929 01;Povoda;Dunajská Streda;Trnavský;Alexander Csóka;315525650;;oupovoda@obecpovoda.sk
Obecná knižnica Slovenská Nová ves;obecná NZ;Fungujúca;Slovenská Nová Ves 30;919 42;Slovenská Nová Ves;Trnava;Trnavský;Mgr. Tibor Szládicsek;903730962;;ousnves.sk
Obecná knižnica Konská;obecná NZ;Fungujúca;Konská 410;013 13;Konská;Žilina;Žilinský;Ing. Janka Stupňanová;415493703;;obecny_urad@obeckonska.sk
Obecná knižnica Hubice;obecná NZ;Stagnujúca;Hubice 28;930 39;Hubice;Dunajská Streda;Trnavský;Štefan Radics;315693508;;obechubice@gmail.com
Obecná knižnica Chrasť nad Hornádom;obecná NZ;Fungujúca;Chrasť nad Hornádom;053 63;Chrasť nad Hornádom;Spišská Nová Ves;Košický;Marián Melega;908579205;;ocuchrast@chrastnadhornadom.sk
Obecná knižnica Vinohrady nad Váhom;obecná NZ;Fungujúca;Vinohrady nad Váhom 355;925 55;Vinohrady nad Váhom;Galanta;Trnavský;Ing. Eva Hanusová;317899242;;starostka@vinohradynadvahom.eu
Miestna ľudová knižnica Kolonica;obecná NZ;Fungujúca;Kolonica 118;067 61;Kolonica;Snina;Prešovský;Ján Dzoba;577692374;;obeckolonica@gmail.com
Obecná knižnica Liptovské Revúce;obecná NZ;Fungujúca;Liptovské Revúce 386;034 74;Liptovské Revúce;Ružomberok;Žilinský;Ing. Miloš Kuriš;444303550;;revuce@stonline.sk
Obecná knižnica Malé Kosihy;obecná NZ;Fungujúca;Malé Kosihy 3;943 61;Malé Kosihy;Nové Zámky;Nitriansky;Anna Molnárová;367584133;;obecmkosihy@mail.t-com.sk
Obecná knižnica Ždaňa;obecná NZ;Fungujúca;Jarmočná 118/4;044 11;Ždaňa;Košice - okolie;Košický;Ing. Ján Kokarda;556980021;;obec.zdana@mail.t-com.sk
Obecná knižnica Batizovce;obecná NZ;Fungujúca;Štúrova 29;059 35;Batizovce;Poprad;Prešovský;Ivan Čičmanec;908645743;;obec@obecbatizovce.sk
Obecná knižnica Malužiná;obecná NZ;Fungujúca;Malužiná 53;032 34;Malužiná;Liptovský Mikuláš;Žilinský;Štefan Firášek;445292109;;obecmaluzina@stonline.sk
Obecná knižnica Tomášikovo;obecná NZ;Fungujúca;Tomášikovo 319;925 04;Tomášikovo;Galanta;Trnavský;Bc. Zoltán Horváth;317855231;;obec@tomasikovo.sk
Obecná knižnica Hrišovce;obecná NZ;Fungujúca;Hrišovce 67;053 51;Hrišovce;Gelnica;Košický;Ing. Peter Dzurov;534473280;;ocu@hrisovce.sk
Obecná knižnica Mojmírovce;obecná NZ;Fungujúca;Cintorínska 1680/15;951 15;Mojmírovce;Nitra;Nitriansky;Imrich Kováč;917336061;;starosta@mojmirovce.sk
Obecná knižnica Veľká Mača;obecná NZ;Fungujúca;Školský objekt 888;925 32;Veľká Mača;Galanta;Trnavský;Ing. Štefan Lancz;908873003;;ocuvmaca@nextra.sk
Obecná knižnica Dolné Orešany;obecná NZ;Fungujúca;Dolné Orešany 210;919 02;Dolné Orešany;Trnava;Trnavský;Juliana Belicová;910428255;;ou.dolneoresany@dolneoresany.sk
Obecná knižnica Vojka;obecná NZ;Stagnujúca;Hlavná 84/26;076 83;Vojka;Trebišov;Košický;Ing. Ján Kajla;566394243;;vojka@post.sk
Obecná knižnica Čajkov;obecná NZ;Fungujúca;Čajkov 210;935 24;Čajkov;Levice;Nitriansky;Emília Nichtová;366389221;;cajkov@imilsoft.sk
Obecná knižnica Zbyňov;obecná NZ;Fungujúca;Hlavná 19;013 19;Zbyňov;Žilina;Žilinský;Ing. Stanislav Hudek;905731470;;zbynov@rajec.net
Obecná knižnica Iža;obecná NZ;Stagnujúca;Ďatelinová 315;946 39;Iža;Komárno;Nitriansky;István Domin;357783153;;obeciza@iza.sk
Obecná knižnica Trenčianska Turná;obecná NZ;Fungujúca;Bánovská 86;913 21;Trenčianska Turná;Trenčín;Trenčiansky;Ing. Peter Mikula;911126310;;sekretariat@trencianskaturna.sk
Obecná knižnica Dolné Obdokovce;obecná NZ;Fungujúca;Dolné Obdokovce 183;951 02;Dolné Obdokovce;Nitra;Nitriansky;Bc. Zoltán Gyepes;377876210;;dolneobdokovce@mail.t-com.sk
Obecná knižnica Nána;obecná NZ;Fungujúca;Madáchova 32;943 60;Nána;Nové Zámky;Nitriansky;Zuzana Matuskova;367597006;;starosta@obecnana.sk
Obecná knižnica Lozorno;obecná NZ;Fungujúca;Zvončínska 3;900 55;Lozorno;Malacky;Bratislavský;Ľubomír Húbek;949860769;www.lozorno.sk;starosta@lozorno.sk
Obecná knižnica Teriakovce;obecná NZ;Fungujúca;Teriakovce 54;080 05;Teriakovce;Prešov;Prešovský;Miroslav Angelovič;949438607;www.obec@teriakovce.sk;obec@teriakovce.sk
Obecná knižnica Špačince;obecná NZ;Fungujúca;Hlavná 182/14;919 51;Špačince;Trnava;Trnavský;Mgr. Július Zemko;335573005;;podatelna@spacince.sk
Obecná kniznica akademika J. Hronca Gočovo;obecná NZ;Fungujúca;Gočovo 94;049 24;Gočovo;Rožňava;Košický;Ing. Milan Mlynár;587883280;;obec@gocovo.sk
Obecná knižnica Veterná Poruba;obecná NZ;Fungujúca;Veterná Poruba 37;031 04;Veterná Poruba;Liptovský Mikuláš;Žilinský;PhDr. Desana Stromková;902669912;;vetporuba@alconet.sk
Obecná knižnica Madunice;obecná NZ;Fungujúca;P. O. Hviezdoslava 8/368;922 42;Madunice;Hlohovec;Trnavský;Mgr. Alena Jelušová;337431123;;madunice@madunice.sk
Obecná knižnica Hajtovka;obecná NZ;Fungujúca;Hajtovka 24;065 45;Hajtovka;Stará Ľubovňa;Prešovský;Pavol Nosek;905141584;;pnosek@azet.sk
Obecná knižnica Iliašovce;obecná NZ;Fungujúca;Iliašovce 231;053 11;Iliašovce;Spišská Nová Ves;Košický;Mgr. Ladislav Grondžák;915541231;;iliasovce@stonline.sk
Obecná knižnica Šarišské Jastrabie;obecná NZ;Fungujúca;Šarišské Jastrabie 257;065 48;Šarišské Jastrabie;Stará Ľubovňa;Prešovský;PaedDr. Ľubomír Rešetár;908281240;;obecsarisskejastrabie@slnet.sk
Obecná knižnica Jakubovany;obecná NZ;Fungujúca;Jakubovany 21;032 04;Jakubovany;Liptovský Mikuláš;Žilinský;Dušan Žiaran;948281311;;jakubovany@imafex.sk
Obecná knižnica Limbach;obecná NZ;Fungujúca;SNP 55;900 91;Limbach;Pezinok;Bratislavský;PaedDr. Anna Hrustičová;336477221;;oulimbach@gmail.com
Obecná knižnica Forbasy;obecná NZ;Stagnujúca;Forbasy 40;065 01;Forbasy;Stará Ľubovňa;Prešovský;Ing. Július Vyrostek;524323455;;ouforbasy@slnet.sk
Obecná knižnica Harhaj;obecná NZ;Fungujúca;Harhaj 35;086 45;Harhaj;Bardejov;Prešovský;Anna Uhrinova;903562664;;obecharhaj@stonline.sk
Obecná knižnica Slovenská Ves;obecná NZ;Fungujúca;Slovenská Ves 50;059 02;Slovenská Ves;Kežmarok;Prešovský;Janka Tomasová;524593122;;ocu.slovenska.ves@mail.t-com.sk
Obecná knižnica Lučatín;obecná NZ;Fungujúca;Lučatín 235;976 61;Lučatín;Banská Bystrica;Banskobystrický;Marián Píši;910146463;;obeclucatin@stonline.sk
Obecná knižnica v Nemce;obecná NZ;Fungujúca;Lúčna 52;974 01;Nemce;Banská Bystrica;Banskobystrický;Dušan Mydlo;484146041;;obec.nemce@stonline.sk
Obecná knižnica Liptovské Matiašovce;obecná NZ;Fungujúca;Liptovské Matiašovce 79;032 23;Liptovské Matiašovce;Liptovský Mikuláš;Žilinský;Ján Jaňák;907566065;;lmatiasovce@citycom.sk
Obecná knižnica Štvrtok;obecná NZ;Fungujúca;Štvrtok 17;913 05;Štvrtok;Trenčín;Trenčiansky;Pavol Habdák;326490146;;obec.stvrtok@stonline.sk
Obecná knižnica Dargov;obecná NZ;Fungujúca;Dubčekova 227;076 61;Dargov;Trebišov;Košický;Štefánia Bojtimová;566782820;;dargov.mb@centrum.sk
Obecná knižnica Štiavnička;obecná NZ;Fungujúca;Štiavnička 78;034 01;Štiavnička;Ružomberok;Žilinský;Ladislav Zvara;907213410;;oustiavnicka@stonline.sk
Obecná knižnica Hrachovište;obecná NZ;Fungujúca;Hrachovište 255;916 16;Hrachovište;Nové Mesto nad Váhom;Trenčiansky;JUDr. Ivan Kolník;327790302;;obecnyurad@hrachoviste.sk
Obecná knižnica Malachov;obecná NZ;Fungujúca;Ortútska cesta 145;974 04;Malachov;Banská Bystrica;Banskobystrický;Ondrej Slivka;904275756;;ou@malachov.sk
Obecná knižnica Čamovce;obecná NZ;Fungujúca;Čamovce 69;986 01;Čamovce;Lučenec;Banskobystrický;Pavel Urbančok;474389101;;camovce@gmail.com
Obecná knižnica Šuja;obecná NZ;Stagnujúca;Šuja 1;015 01;Šuja;Žilina;Žilinský;Marta Veselá;415423792;;obecsuja@centrum.sk
Obecná knižnica Poniky;obecná NZ;Fungujúca;Horná ulica 240;976 33;Poníky;Banská Bystrica;Banskobystrický;Mgr. Samuel Bračo;484193583;;starosta@poniky.sk
Obecná knižnica Poľný Kesov;obecná NZ;Stagnujúca;Poľný Kesov 68;951 15;Poľný Kesov;Nitra;Nitriansky;Pavel Bednárik;377787127;;podatelna@polnykesov.eu
Obecná knižnica Žikava;obecná NZ;Fungujúca;Žikava 104;951 92;Žikava;Zlaté Moravce;Nitriansky;Helena Kúseková;376348221;;obeczikava@gmail.com
Obecná knižnica Chmeľová;obecná NZ;Fungujúca;Chmeľová 164;086 33;Chmeľová;Bardejov;Prešovský;Mgr. Ján Železný;544798226;;obec.chmelova@centrum.sk
Miestna knižnica Bottovo;obecná NZ;Stagnujúca;Bottovo 35;980 41;Bottovo;Rimavská Sobota;Banskobystrický;Ing. Andrea Baláková;911581215;;obecbottovo@gmail.com
Obecná knižnica Hraničné;obecná NZ;Fungujúca;Hraničné 91;065 22;Hraničné;Stará Ľubovňa;Prešovský;Mgr. Miroslav Pokrivčák;910421520;;miroslav.pokrivcak@hranicne.sk
Obecná knižnica Adamovské Kochanovce;obecná NZ;Fungujúca;Adamovské Kochanovce 97;913 05;Adamovské Kochanovce;Trenčín;Trenčiansky;Ing. Michal Križan;326490325;;obec@adamovskekochanovce.sk
Miestna ľudová knižnica Most pri Bratislave;obecná NZ;Fungujúca;Bratislavská 96;900 46;Most pri Bratislave;Senec;Bratislavský;Ing. František Mastný;245951215;;starosta@mostpribratislave.sk
Obecná knižnica Litava;obecná NZ;Fungujúca;Litava 5;962 44;Litava;Krupina;Banskobystrický;Štefan Matejkin;455402840;;starosta@obeclitava.sk
Obecná knižnica Paština Závada;obecná NZ;Fungujúca;Paština Závada 57;013 41;Paština Závada;Žilina;Žilinský;Viera Hvizdáková;908530267;;obec.pz@centrum.sk
Obecná knižnica Lietavská Lúčka;obecná NZ;Fungujúca;Májová 7;013 11;Lietavská Lúčka;Žilina;Žilinský;Ing. Marian Sliviak;415688112;;obec@lietravskalucka.sk
Obecná knižnica Rosina;obecná NZ;Fungujúca;Dolná Rosina 734;013 22;Rosina;Žilina;Žilinský;Jaroslav Zábojník;907253794;;rosina@rosina.sk
Obecná knižnica Rad;obecná NZ;Fungujúca;Hlavná 94/9;076 37;Rad;Trebišov;Košický;Ladislav Liška;566282363;;ocurad@centrum.sk
Obecná knižnica Vyšná Voľa;obecná NZ;Fungujúca;Vyšná Voľa 89;086 21;Vyšná Voľa;Bardejov;Prešovský;Mária Kmecová;544797222;;obecvysnavola@centrum.sk
Obecná knižnica Vyšný Hrušov;obecná NZ;Fungujúca;Vyšný Hrušov 128;067 32;Vyšný Hrušov;Humenné;Prešovský;RNDr. Milan Naster;949480574;;vysnyhrusov@gmail.com
Obecná knižnica Nová Dedinka;obecná NZ;Fungujúca;Hlavná 10;900 29;Nová Dedinka;Senec;Bratislavský;Viola Takáčová;245914127;;novadedinka@stonline.sk
Obecná knižnica Šambron;obecná NZ;Fungujúca;Šambron 25;065 45;Šambron;Stará Ľubovňa;Prešovský;Ing. Štefan Petrus;911280464;;sambron@slnet.sk
Obecná knižnica Bodzianske Lúky;obecná NZ;Fungujúca;Bodzianske Lúky 1;946 14;Bodzianske Lúky;Komárno;Nitriansky;Ing. Monika Aradi;357780490;;bodzianskeluky@gutanet.sk
Obecná knižnica Dvorníky;obecná NZ;Stagnujúca;Dvorníky 428;920 56;Dvorníky;Hlohovec;Trnavský;Mgr. Ľuboš Gubáň;337320149;;lubos.guban@dvorniky.sk
Obecná knižnica Krnča;obecná NZ;Fungujúca;Krnča;956 19;Krnča;Topoľčany;Nitriansky;Ing. Jaroslav Kačina;915772015;;ocu@krnca.sk
Obecná knižnica Ľubotice;obecná NZ;Fungujúca;Čskoslovenských letcov 2;080 06;Ľubotice;Prešov;Prešovský;MVDr. Štefan Krajči;918539619;www.lubotice.eu/obecna-kniznica;kniznica@lubotice.eu
Obecná knižnica Nemcovce;obecná NZ;Fungujúca;Nemcovce 27;086 12;Nemcovce;Bardejov;Prešovský;Mg. Ján Paľa;902100374;;nemcovce@nemcovce.sk
Obecná knižnica Beňadiková;obecná NZ;Fungujúca;Beňadiková 10;032 04;Beňadiková;Liptovský Mikuláš;Žilinský;Ján Martinovič;445595237;;oubenadikova@alconet.sk
Obecná knižnica Krasňany;obecná NZ;Fungujúca;Krasňany 22;013 03;Krasňany;Žilina;Žilinský;Ing. Miroslav Bielka;415692381;;krasnany@obeckrasnany.sk
Obecná knižnica Bruty;obecná NZ;Fungujúca;Bruty 111;943 55;Bruty;Nové Zámky;Nitriansky;Ing. Alexander Hubač;367591111;;obec@bruty.sk
Obecná knižnica Drienovská Nová Ves;obecná NZ;Fungujúca;Drienovská Nová Ves 83;082 01;Drienovská Nová Ves;Prešov;Prešovský;Ing. Ján Brozman;517797186;;starosta.dnv@centrum.sk
Obecná knižnica Horné Štitáre;obecná NZ;Fungujúca;Horné Štitáre 75;956 03;Horné Štitáre;Topoľčany;Nitriansky;Mgr. Martin Fulka;385388121;;obec.horne.stitare@wircom.sk
Obecná knižnica Martin nad Žitavou;obecná NZ;Stagnujúca;Martin nad Žitavou 130;953 01;Martin nad Žitavou;Zlaté Moravce;Nitriansky;Slavomír Fabian;376422545;;ocu@martinnadzitavou.sk
Obecná knižnica Brzotín;obecná NZ;Fungujúca;Berzehorská 164;049 51;Brzotín;Rožňava;Košický;Pavol Gášpár;905576066;;oubrzotin@stonline.sk
Obecná knižnica Turie;obecná NZ;Fungujúca;Hlavná 214;013 12;Turie;Žilina;Žilinský;Miroslav Chovanec;415989313;;obecturie@rajec.net
Obecná knižnica Markuška;obecná NZ;Fungujúca;Markuška 18;049 34;Markuška;Rožňava;Košický;Ondrej Lipták;587931906;;obec.markuska@centrum.sk
Obecná knižnica Topoľnica;obecná NZ;Fungujúca;Topoľnica 13;925 92;Topoľnica;Galanta;Trnavský;Zoltán Szilvási;317811258;;topolnica@topolnica.sk
Obecná knižnica Brestovec;obecná NZ;Fungujúca;Hlavná 86;946 17;Brestovec;Komárno;Nitriansky;Peter Tóth;357738121;;obec@brestovec.eu
Obecná knižnica Vernár;obecná NZ;Fungujúca;Hlavná 171/65;059 17;Vernár;Poprad;Prešovský;Ing. Vladimír Ondruš;527797129;;urad@vernar.sk
Miestna knižnica Pataš;obecná NZ;Fungujúca;Hlavná 89;929 01;Pataš;Dunajská Streda;Trnavský;Ľudovít Kiss;315542224;;oupatas@stonline.sk
Obecná knižnica Dlhá Ves;obecná NZ;Stagnujúca;Hlavná 48;049 55;Dlhá Ves;Rožňava;Košický;Eva Kankulová;587885813;;obec.dlhaves@gmail.com
Obecná knižnica Vozokany;obecná NZ;Fungujúca;Hlavná 57;925 05;Vozokany;Galanta;Trnavský;Mgr. Mikuláš Tončko;317855239;;obec@obecvozokany.sk
Obecná knižnica Brezovica;obecná NZ;Fungujúca;Brezovica 59;082 74;Brezovica;Sabinov;Prešovský;Ing. Jozef Hodoši;907735460;;kniznicabrezovica@centrum.sk
Obecná knižnica Tomášov;obecná NZ;Fungujúca;Mierová 9;900 44;Tomášov;Senec;Bratislavský;Jozef Szalay;245958128;;starosta.pomichal@tomasov.sk
Obecná knižnica Kľače;obecná NZ;Fungujúca;Kľače 1;013 19;Kľače;Žilina;Žilinský;Jozef Jánošík;415422097;;ocuklace@rajec.net
Obecná knižnica Veličná;obecná NZ;Fungujúca;Veličná 162;027 54;Veličná;Dolný Kubín;Žilinský;JUDr. Anton Bukna;435882201;;obec@velicna.sk
Miestna ľudová knižnica Plavecký Mikuláš;obecná NZ;Fungujúca;Plavecký Mikuláš 307;906 35;Plavecký Mikuláš;Malacky;Bratislavský;Marta Hlavatá;905568560;;starosta@pmikulas.sk
Obecná knižnica Málaš;obecná NZ;Stagnujúca;Málaš 14;935 67;Málaš;Levice;Nitriansky;Karol Streda;367729121;;starosta@malas.sk
Obecná knižnica Solčianky;obecná NZ;Stagnujúca;Solčianky 58;956 38;Solčianky;Topoľčany;Nitriansky;Dušan Ondruška;385300064;;solcianky@mail.t-com.sk
Obecná knižnica Dlhé Klčovo;obecná NZ;Fungujúca;Dlhá 173/84;094 13;Dlhé Klčovo;Vranov nad Topľou;Prešovský;Andrej Kulik;574882491;;obec@dlheklcovo.sk
Obecná knižnica Ožďny;obecná NZ;Fungujúca;Ožďany 160;980 11;Ožďany;Rimavská Sobota;Banskobystrický;Ing. Adrian Barto;902908443;;obecozdany@obecozdany.sk
Obecná knižnica Hosťovce;obecná NZ;Fungujúca;Hosťovce 49;951 91;Hosťovce;Zlaté Moravce;Nitriansky;Mgr. Zita Koprdová;376345205;;hostovce@outlook.sk
Obecná knižnica Veľká Lúka;obecná NZ;Fungujúca;Chalúpkova 11;962 31;Veľká Lúka;Zvolen;Banskobystrický;Ing. Andrea Chromeková;455443621;;obecnyurad@velkaluka.sk
Obecná knižnica Pavlice;obecná NZ;Stagnujúca;Pavlice 146;919 42;Pavlice;Trnava;Trnavský;Mgr. Ľubomír Baláž;335590229;;obecpavlice@golomtech.sk
Obecná knižnica Horná Mariková;obecná NZ;Fungujúca;Modlatín 357;018 03;Horná Mariková;Považská Bystrica;Trenčiansky;Ing. Miroslav Hamar;424352182;;obechornamarikova@stonline.sk
Obecná knižnica Dobrá Voda;obecná NZ;Fungujúca;Dobrá Voda 90;919 54;Dobrá Voda;Trnava;Trnavský;René Blanárik;905739465;;dobravoda.starosta@gmail.com
Obecná knižnica Nová Lesná;obecná NZ;Fungujúca;Školská 161;059 86;Nová Lesná;Poprad;Prešovský;Ing. Peter Hritz;524422114;;obec@novalesna.sk
Obecná knižnica Dunajská Lužná;obecná NZ;Fungujúca;Námestie sv. Martina 3;900 42;Dunajská Lužná;Senec;Bratislavský;Štefan Jurčík;903999766;www.dunajskaluzna.sk;starosta@dunajskaluzna.sk
Obecná knižnica Ivachnová;obecná NZ;Fungujúca;Ivachnová 6;034 83;Ivachnová;Ružomberok;Žilinský;Vladimír Guoth;904860803;;obec.ivachnova@inetbox.sk
Obecná knižnica Vojka nad Dunajom;obecná NZ;Fungujúca;Vojka nad Dunajom 14;930 31;Vojka nad Dunajom;Dunajská Streda;Trnavský;Ing. Donald Álló;315548181;;obecvojka@gmail.com
Obecná knižnica Lokca;obecná NZ;Fungujúca;Lokca 3;029 51;Lokca;Námestovo;Žilinský;Ing. Miroslav Valčičák;435591250;;oculokca@stonline.sk
Obecná knižnica Stakčín;obecná NZ;Fungujúca;Ševčenkova 409/1;067 61;Stakčín;Snina;Prešovský;Ján Kerekanič;577674292;;oustakcin@stonline.sk
Obecná knižnica Novosad;obecná NZ;Fungujúca;Letná 90;076 02;Novosad;Trebišov;Košický;Jozef Jastrab;918691357;;
Obecná knižnica Osikov;obecná NZ;Fungujúca;Osikov 57;086 42;Osikov;Bardejov;Prešovský;Stanislav Biroš;544791114;;obecosikov@szm.sk
Obecná knižnica Kočovce;obecná NZ;Fungujúca;Kočovce 280;916 31;Kočovce;Nové Mesto nad Váhom;Trenčiansky;Ing. Ján Tupý;327461224;;ou.kocovce@kocovce.sk
Obecná knižnica Bohdanovce nad Trnavou;obecná NZ;Fungujúca;Bohdanovce nad Trnavou 268;919 09;Bohdanovce nad Trnavou;Trnava;Trnavský;Miroslav Sučák;335354503;;ocubohda@stonline.sk
Obecná knižnica Široké;obecná NZ;Fungujúca;Široké 118;082 37;Široké;Prešov;Prešovský;Ing. Stanislav Bartoš;517911102;;obec@siroke.sk
Obecná knižnica Cejkov;obecná NZ;Fungujúca;Hlavná 334;076 05;Cejkov;Trebišov;Košický;Ladislav Slovjak;566795026;;obec.cejkov@trenet.sk
Obecná knižnica Dežerice;obecná NZ;Fungujúca;Dežerice 193;957 03;Dežerice;Bánovce nad Bebravou;Trenčiansky;Ladislav Chudoba;387682314;;obecdezerice@post.sk
Obecná knižnica Spišský Hrhov;obecná NZ;Fungujúca;SNP 10;053 02;Spišský Hrhov;Levoča;Prešovský;PhDr. Vladimír Ledecký;534297436;;spissky.hrhov@vmnet.sk
Obecná knižnica Veľké Turovce;obecná NZ;Fungujúca;Veľké Turovce 321;935 81;Veľké Turovce;Levice;Nitriansky;Jaroslav Péter;915080159;;info@velketurovce.sk
Obecná knižnica Rykynčice;obecná NZ;Fungujúca;Dolné Rykynčice 121;962 55;Rykynčice;Krupina;Banskobystrický;Eva Nemčovská;455593115;;obecrykyncice@gmail.com
Obecná knižnica Bielovce;obecná NZ;Fungujúca;Bielovce 17;935 74;Bielovce;Levice;Nitriansky;Irena Skladanová;367720380;;bielovce@mail.t-com
Obecná knižnica Krškany;obecná NZ;Fungujúca;Krškany 115;934 01;Krškany;Levice;Nitriansky;Ing. Peter Kováčik;366313191;;obeckrskany@gmail.com
Obecná knižnica Veľký Blh;obecná NZ;Fungujúca;Kúpeľná 163;980 22;Veľký Blh;Rimavská Sobota;Banskobystrický;Tibor Csúr;475812070;;starosta@velkyblh.sk
Obecná knižnica Teplička;obecná NZ;Fungujúca;Teplička 83;052 01;Teplička;Spišská Nová Ves;Košický;Ladislav Koňak;534411223;;teplicka@teplicka.sk
Obecná knižnica Likavka;obecná NZ;Fungujúca;Hviezdoslavova 995;034 95;Likavka;Ružomberok;Žilinský;Ing. Mariaán Javorka;911315362;;obec@likavka.sk
Obecná knižnica Mútne;obecná NZ;Stagnujúca;Mútne 194;029 63;Mútne;Námestovo;Žilinský;Marián Murín;435597320;;obec@mutne.sk
Obecná knižnica Moča;obecná NZ;Fungujúca;Hlavná 172;946 37;Moča;Komárno;Nitriansky;Ing. Pál Banai Tóth, PhD.;357777990;;moca@slovanet.sk
Obecná knižnica Branovo;obecná NZ;Fungujúca;Branovo 46;941 31;Branovo;Nové Zámky;Nitriansky;Ing. Vladimír Demo;356485126;;obecbranovo@konfer.eu
Obecná knižnica Kráľová nad Váhom;obecná NZ;Fungujúca;Kráľová nad Váhom 71;925 91;Kráľová nad Váhom;Šaľa;Nitriansky;RNDr. Ferenc Bergendi;317713122;;obeckralovanv@stonline.sk
Obecná knižnica Markušove;obecná NZ;Stagnujúca;Školská 18;053 21;Markušovce;Spišská Nová Ves;Košický;Michal Čuchran;534498137;;obecmarkusovce@markusovce.sk
Obecná knižnica Výborná;obecná NZ;Fungujúca;Výborná 12;059 02;Výborná;Kežmarok;Prešovský;Ing. Viera Strelová;524593161;;obecvyborna@stonline.sk
Obecná knižnica Orávka;obecná NZ;Zrušená;Orávka 49;980 42;Orávka;Rimavská Sobota;Banskobystrický;Ing. Ján Lichanec;475593119;;obec.oravka@gemernet.sk
Obecná knižnica Drženice;obecná NZ;Fungujúca;Drženice 83;935 03;Drženice;Levice;Nitriansky;Ing. Slavomír Baláž;905555973;;obec.drzenice@pobox.sk
